cpp_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,scl,bft,wbl,ku_sor,ku_kmr_pa,ota,ug,ha_aj,sw_aj,wo_aj,ff_aj,mnk_aj,jrb,jpr,tg_pa,lrc,mzn,glk,tat,syr_gar,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
co_await,coroutine,انتظار_مشترك,مشترکہ_انتظار,همزمان_انتظار,همزمان_انتظار,همزمان_انتظار,همزمان_انتظار,مشترکہ_انتظار,همزمان_انتظار,همزمان_انتظار,همزمان_انتظار,مشترکہ_انتظار,مشترکہ_انتظار,مشترکہ_انتظار,مشترکہ_انتظار,مشترکہ_انتظار,هاوپەیوەند_چاوەڕوانی,هاوپەیوەند_چاوەڕوانی,همزمان_انتظار,ھەمزەمەن_كۈتۈش,انتظار_مشترك,انتظار_مشترك,انتظار_مشترك,انتظار_مشترك,همزمان_انتظار,همزمان_انتظار,انتظار_مشترك,انتظار_مشترك,همزمان_انتظار,همزمان_انتظار,همزمان_انتظار,همزمان_انتظار,همزمان_انتظار,همزمان_انتظار,كو_اويت,همزمان_انتظار,ھەمزەمەن_كۈتۈش,ھەمزەمەن_كۈتۈش,ھەمزەمەن_كۈتۈش,انتظار_مشترك,انتظار_مشترك,အတူ_စောင့်
co_return,coroutine,إرجاع_مشترك,مشترکہ_واپسی,همزمان_بازگشت,همزمان_بازگشت,همزمان_بازگشت,همزمان_موٽ,مشترکہ_واپسی,همزمان_موٽ,همزمان_بازگشت,همزمان_بازگشت,مشترکہ_واپسی,مشترکہ_واپسی,مشترکہ_واپسی,مشترکہ_واپسی,مشترکہ_واپسی,هاوپەیوەند_گەڕانەوە,هاوپەیوەند_گەڕانەوە,همزمان_بازگشت,ھەمزەمەن_قايتىش,إرجاع_مشترك,إرجاع_مشترك,إرجاع_مشترك,إرجاع_مشترك,همزمان_بازگشت,همزمان_بازگشت,إرجاع_مشترك,إرجاع_مشترك,همزمان_بازگشت,همزمان_بازگشت,همزمان_بازگشت,همزمان_بازگشت,همزمان_بازگشت,همزمان_بازگشت,كو_ريتيرن,همزمان_بازگشت,ھەمزەمەن_قايتىش,ھەمزەمەن_قايتىش,ھەمزەمەن_قايتىش,إرجاع_مشترك,إرجاع_مشترك,အတူ_ပြန်
co_yield,coroutine,إنتاج_مشترك,مشترکہ_پیداوار,همزمان_پیدا,همزمان_پیدا,همزمان_پیدا,همزمان_ڏيو,مشترکہ_پیداوار,همزمان_ڏيو,همزمان_پیدا,همزمان_پیدا,مشترکہ_پیداوار,مشترکہ_پیداوار,مشترکہ_پیداوار,مشترکہ_پیداوار,مشترکہ_پیداوار,هاوپەیوەند_بەرهەم,هاوپەیوەند_بەرهەم,همزمان_پیدا,ھەمزەمەن_چىقىرىش,إنتاج_مشترك,إنتاج_مشترك,إنتاج_مشترك,إنتاج_مشترك,همزمان_پیدا,همزمان_پیدا,إنتاج_مشترك,إنتاج_مشترك,همزمان_پیدا,همزمان_پیدا,همزمان_پیدا,همزمان_پیدا,همزمان_پیدا,همزمان_پیدا,كو_ييلد,همزمان_پیدا,ھەمزەمەن_چىقىرىش,ھەمزەمەن_چىقىرىش,ھەمزەمەن_چىقىرىش,إنتاج_مشترك,إنتاج_مشترك,အတူ_ထုတ်
decltype,operator,نوع_مشتق,قسم_اخذ,نوع_استخراج,نوع_استخراج,نوع_استخراج,قسم_اخذ,قسم_اخذ,قسم_اخذ,نوع_استخراج,نوع_استخراج,قسم_اخذ,قسم_اخذ,قسم_اخذ,قسم_اخذ,قسم_اخذ,جۆر_وەرگرتن,جۆر_وەرگرتن,نوع_استخراج,تىپ_چىقىرىش,نوع_مشتق,نوع_مشتق,نوع_مشتق,نوع_مشتق,نوع_استخراج,نوع_استخراج,نوع_مشتق,نوع_مشتق,نوع_استخراج,نوع_استخراج,نوع_استخراج,نوع_استخراج,نوع_استخراج,نوع_استخراج,ديكلتايب,نوع_استخراج,تىپ_چىقىرىش,تىپ_چىقىرىش,تىپ_چىقىرىش,نوع_مشتق,نوع_مشتق,အမျိုးအစား_ယူ
delete,operator,احذف,حذف_کرو,حذف,حذف,حذف,ختم,حذف_کرو,ختم,حذف,حذف,حذف_کرو,حذف_کرو,حذف_کرو,حذف_کرو,حذف_کرو,سڕینەوە,سڕینەوە,حذف,ئۆچۈر,احذف,احذف,احذف,احذف,حذف,حذف,احذف,احذف,حذف,حذف,حذف,حذف,حذف,حذف,ديليت,حذف,ئۆچۈر,ئۆچۈر,ئۆچۈر,احذف,احذف,ဖျက်
do,control,افعل,كرو,انجام_ده,انجام_ده,انجام_ده,ڪر,كرو,ڪر,انجام_ده,انجام_ده,كرو,كرو,كرو,كرو,كرو,بکە,بکە,کن,قىل,افعل,افعل,افعل,افعل,کن,کن,افعل,افعل,کن,کن,کن,کن,کن,کن,لکوقن,کن,قىل,قىل,قىل,افعل,افعل,လုပ်
double,type,مزدوج,دوگنا,دوگانه,دوگانه,دوگانه,ڊبل,دوگنا,ڊبل,دوگانه,دوگانه,دوگنا,دوگنا,دوگنا,دوگنا,دوگنا,دوگانه,دوگانه,دوگانه,قوش,مزدوج,مزدوج,مزدوج,مزدوج,دوگانه,دوگانه,مزدوج,مزدوج,دوگانه,دوگانه,دوگانه,دوگانه,دوگانه,دوگانه,دبل,دوگانه,قوش,قوش,قوش,مزدوج,مزدوج,နှစ်ဆ
dynamic_cast,operator,تحويل_ديناميكي,حرکی_ڈھال,تبدیل_پویا,تبدیل_پویا,تبدیل_پویا,حرڪتي_ڪاسٽ,حرکی_ڈھال,حرڪتي_ڪاسٽ,تبدیل_پویا,تبدیل_پویا,حرکی_ڈھال,حرکی_ڈھال,حرکی_ڈھال,حرکی_ڈھال,حرکی_ڈھال,گۆڕینی_پویا,گۆڕینی_پویا,تبدیل_پویا,پويالىق_ئايلاندۇرۇش,تحويل_ديناميكي,تحويل_ديناميكي,تحويل_ديناميكي,تحويل_ديناميكي,تبدیل_پویا,تبدیل_پویا,تحويل_ديناميكي,تحويل_ديناميكي,تبدیل_پویا,تبدیل_پویا,تبدیل_پویا,تبدیل_پویا,تبدیل_پویا,تبدیل_پویا,داينامك_كاست,تبدیل_پویا,پويالىق_ئايلاندۇرۇش,پويالىق_ئايلاندۇرۇش,پويالىق_ئايلاندۇرۇش,تحويل_ديناميكي,تحويل_ديناميكي,ပြောင်း_တက်
else,control,وإلا,ورنہ,وگرنه,وگرنه,وگرنه,ٻيئي,ورنہ,ٻيئي,وگرنه,وگرنه,ورنہ,ورنہ,ورنہ,ورنہ,ورنہ,ئەگەر_نە,ئەگەر_نە,وگرنه,بولمىسا,وإلا,وإلا,وإلا,وإلا,وگرنه,وگرنه,وإلا,وإلا,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,اݢرنه,وگرنه,بولمىسا,بولمىسا,بولمىسا,وإلا,وإلا,မဟုတ်ရင်
enum,definition,تعداد,گنتی,برشمار,برشمار,برشمار,ڳڻپ,گنتی,ڳڻپ,برشمار,برشمار,گنتی,گنتی,گنتی,گنتی,گنتی,ژمارە,ژمارە,برشمار,ساناق,تعداد,تعداد,تعداد,تعداد,برشمار,برشمار,تعداد,تعداد,برشمار,برشمار,برشمار,برشمار,برشمار,برشمار,اينم,برشمار,ساناق,ساناق,ساناق,تعداد,تعداد,စာရင်း
explicit,qualifier,صريح,واضح,صریح,صریح,صریح,واضح,واضح,واضح,صریح,صریح,واضح,واضح,واضح,واضح,واضح,ئاشكرا,ئاشكرا,صریح,ئاشكارا,صريح,صريح,صريح,صريح,صریح,صریح,صريح,صريح,صریح,صریح,صریح,صریح,صریح,صریح,اكسبليست,صریح,ئاشكارا,ئاشكارا,ئاشكارا,صريح,صريح,ရှင်း
export,module,تصدير,برآمد,صدور,صدور,صدور,ايڪسپورٽ,برآمد,ايڪسپورٽ,صدور,صدور,برآمد,برآمد,برآمد,برآمد,برآمد,هەناردن,هەناردن,صدور,چىقىرىش,تصدير,تصدير,تصدير,تصدير,صدور,صدور,تصدير,تصدير,صدور,صدور,صدور,صدور,صدور,صدور,ايكسپورت,صدور,چىقىرىش,چىقىرىش,چىقىرىش,تصدير,تصدير,တင်ပို့
extern,storage,خارجي,بیرونی,خارجی,خارجی,خارجی,ٻاهريون,بیرونی,ٻاهريون,خارجی,خارجی,بیرونی,بیرونی,بیرونی,بیرونی,بیرونی,دەرەوەیی,دەرەوەیی,خارجی,سىرتقى,خارجي,خارجي,خارجي,خارجي,خارجی,خارجی,خارجي,خارجي,خارجی,خارجی,خارجی,خارجی,خارجی,خارجی,ايكسترن,خارجی,سىرتقى,سىرتقى,سىرتقى,خارجي,خارجي,ပြင်ပ
false,literal,خطأ,غلط,نادرست,نادرست,نادرست,غلط,غلط,غلط,نادرست,نادرست,غلط,غلط,غلط,غلط,غلط,هەڵە,هەڵە,نادرست,يالغان,خطأ,خطأ,خطأ,خطأ,نادرست,نادرست,خطأ,خطأ,نادرست,نادرست,نادرست,نادرست,نادرست,نادرست,فالس,نادرست,يالغان,يالغان,يالغان,خطأ,خطأ,မှား
float,type,عائم,اعشاری,شناور,شناور,شناور,فلوٽ,اعشاری,فلوٽ,شناور,شناور,اعشاری,اعشاری,اعشاری,اعشاری,اعشاری,شناور,شناور,شناور,يۈزۈلگۈچ,عائم,عائم,عائم,عائم,شناور,شناور,عائم,عائم,شناور,شناور,شناور,شناور,شناور,شناور,فلوات,شناور,يۈزۈلگۈچ,يۈزۈلگۈچ,يۈزۈلگۈچ,عائم,عائم,အလွှာ
for,control,لـ,کے_ليے,برای,برای,برای,لاء,کے_ليے,لاء,برای,برای,کے_ليے,کے_ليے,کے_ليے,کے_ليے,کے_ليے,بۆ,بۆ,برای,ئۈچۈن,لـ,لـ,لـ,لـ,برای,برای,لـ,لـ,برای,برای,برای,برای,برای,برای,اونتوق,برای,ئۈچۈن,ئۈچۈن,ئۈچۈن,لـ,لـ,အတွက်
friend,definition,صديق,دوست,دوست,دوست,دوست,دوست,دوست,دوست,دوست,دوست,دوست,دوست,دوست,دوست,دوست,هاوڕێ,هاوڕێ,دوست,دوست,صديق,صديق,صديق,صديق,دوست,دوست,صديق,صديق,دوست,دوست,دوست,دوست,دوست,دوست,فريند,دوست,دوست,دوست,دوست,صديق,صديق,မိတ်ဆွေ
goto,control,اذهب_إلى,جاؤ,برو_به,برو_به,برو_به,وڃو,جاؤ,وڃو,برو_به,برو_به,جاؤ,جاؤ,جاؤ,جاؤ,جاؤ,بڕۆ,بڕۆ,برو_به,بېرىش,اذهب_إلى,اذهب_إلى,اذهب_إلى,اذهب_إلى,برو,برو,اذهب_إلى,اذهب_إلى,برو_به,برو_به,برو_به,برو_به,برو_به,برو_به,ڬوتو,برو_به,بېرىش,بېرىش,بېرىش,اذهب_إلى,اذهب_إلى,သွား
if,control,إذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,ئەگەر,اگر,ئەگەر,إذا,إذا,إذا,إذا,اگر,اگر,إذا,إذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,ئەگەر,ئەگەر,إذا,إذا,အကယ်၍
inline,qualifier,ضمني,اندرونی,درون‌خطی,درون‌خطی,درون‌خطی,اندروني,اندرونی,اندروني,درون‌خطی,درون‌خطی,اندرونی,اندرونی,اندرونی,اندرونی,اندرونی,ناوخۆیی,ناوخۆیی,درون‌خطی,ئىچكى,ضمني,ضمني,ضمني,ضمني,درون‌خطی,درون‌خطی,ضمني,ضمني,درون‌خطی,درون‌خطی,درون‌خطی,درون‌خطی,درون‌خطی,درون‌خطی,اينلاين,درون‌خطی,ئىچكى,ئىچكى,ئىچكى,ضمني,ضمني,အတွင်း
int,type,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,صحیح,عدد_صحیح,صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,تەمام,تەمام,عدد_صحیح,پۈتۈن,عدد_صحيح,عدد_صحيح,عدد_صحيح,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحيح,عدد_صحيح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,عدد_صحیح,اينت,عدد_صحیح,پۈتۈن,پۈتۈن,پۈتۈن,عدد_صحيح,عدد_صحيح,အပြည့်
long,type,طويل,طویل,طولانی,طولانی,طولانی,ڊگهو,طویل,ڊگهو,طولانی,طولانی,طویل,طویل,طویل,طویل,طویل,درێژ,درێژ,طولانی,ئۇزۇن,طويل,طويل,طويل,طويل,طولانی,طولانی,طويل,طويل,طولانی,طولانی,طولانی,طولانی,طولانی,طولانی,لانگ,طولانی,ئۇزۇن,ئۇزۇن,ئۇزۇن,طويل,طويل,ရှည်
mutable,qualifier,قابل_تغيير,قابل_تبدیل,قابل_تغییر,قابل_تغییر,قابل_تغییر,بدلجڻ_جوڳي,قابل_تبدیل,بدلجڻ_جوڳي,قابل_تغییر,قابل_تغییر,قابل_تبدیل,قابل_تبدیل,قابل_تبدیل,قابل_تبدیل,قابل_تبدیل,گۆڕاو,گۆڕاو,قابل_تغییر,ئۆزگىرىشچان,قابل_تغيير,قابل_تغيير,قابل_تغيير,قابل_تغيير,قابل_تغییر,قابل_تغییر,قابل_تغيير,قابل_تغيير,قابل_تغییر,قابل_تغییر,قابل_تغییر,قابل_تغییر,قابل_تغییر,قابل_تغییر,ميوټيبل,قابل_تغییر,ئۆزگىرىشچان,ئۆزگىرىشچان,ئۆزگىرىشچان,قابل_تغيير,قابل_تغيير,ပြောင်းလဲနိုင်
namespace,definition,نطاق,نام_فضا,فضای_نام,فضای_نام,فضای_نام,نيم_اسپيس,نام_فضا,نيم_اسپيس,فضای_نام,فضای_نام,نام_فضا,نام_فضا,نام_فضا,نام_فضا,نام_فضا,ناونیشان,ناونیشان,فضای_نام,نام_كېڭەش,نطاق,نطاق,نطاق,نطاق,فضای_نام,فضای_نام,نطاق,نطاق,فضای_نام,فضای_نام,فضای_نام,فضای_نام,فضای_نام,فضای_نام,نيمسپس,فضای_نام,نام_كېڭەش,نام_كېڭەش,نام_كېڭەش,نطاق,نطاق,နယ်ပယ်
new,operator,جديد,نیا,جدید,جدید,جدید,نئون,نیا,نئون,جدید,جدید,نیا,نیا,نیا,نیا,نیا,نوى,نوى,جدید,يېڭى,جديد,جديد,جديد,جديد,جدید,جدید,جديد,جديد,جدید,جدید,جدید,جدید,جدید,جدید,نيو,جدید,يېڭى,يېڭى,يېڭى,جديد,جديد,အသစ်
noexcept,qualifier,لا_استثناء,بلا_استثنا,بی_استثناء,بی_استثناء,بی_استثناء,بغير_استثناء,بلا_استثنا,بغير_استثناء,بی_استثناء,بی_استثناء,بلا_استثنا,بلا_استثنا,بلا_استثنا,بلا_استثنا,بلا_استثنا,بێ_هەڵە,بێ_هەڵە,بی_استثناء,مۇستەسناسىز,لا_استثناء,لا_استثناء,لا_استثناء,لا_استثناء,بی_استثناء,بی_استثناء,لا_استثناء,لا_استثناء,بی_استثناء,بی_استثناء,بی_استثناء,بی_استثناء,بی_استثناء,بی_استثناء,نوإكسبت,بی_استثناء,مۇستەسناسىز,مۇستەسناسىز,مۇستەسناسىز,لا_استثناء,لا_استثناء,မဖြစ်နိုင်
nullptr,literal,فارغ,خالی,تهی,تهی,تهی,خالي,خالی,خالي,تهی,تهی,خالی,خالی,خالی,خالی,خالی,بەتاڵ,بەتاڵ,تهی,بوش,فارغ,فارغ,فارغ,فارغ,تهی,تهی,فارغ,فارغ,تهی,تهی,تهی,تهی,تهی,تهی,نل_پوائنٽر,تهی,بوش,بوش,بوش,فارغ,فارغ,အလွတ်
operator,definition,مشغل,عامل,عملگر,عملگر,عملگر,آپريٽر,عامل,آپريٽر,عملگر,عملگر,عامل,عامل,عامل,عامل,عامل,ئامراز,ئامراز,عملگر,ئامالچى,مشغل,مشغل,مشغل,مشغل,عملگر,عملگر,مشغل,مشغل,عملگر,عملگر,عملگر,عملگر,عملگر,عملگر,اوپريٽر,عملگر,ئامالچى,ئامالچى,ئامالچى,مشغل,مشغل,အော်ပရေတာ
or,operator,أو,یا,یا,یا,یا,يا,یا,يا,یا,یا,یا,یا,یا,یا,یا,یان,یان,یا,ياكى,أو,أو,أو,أو,یا,یا,أو,أو,یا,یا,یا,یا,یا,یا,اور,یا,ياكى,ياكى,ياكى,أو,أو,သို့
or_eq,operator,أو_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,يا_برابر,یا_برابر,يا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یان_یەکسان,یان_یەکسان,یا_برابر,ياكى_تەڭ,أو_برابر,أو_برابر,أو_برابر,أو_برابر,یا_برابر,یا_برابر,أو_برابر,أو_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,یا_برابر,اور_ايكول,یا_برابر,ياكى_تەڭ,ياكى_تەڭ,ياكى_تەڭ,أو_برابر,أو_برابر,သို့_တူ
private,access,خاص,ذاتی,خصوصی,خصوصی,خصوصی,نجي,ذاتی,نجي,خصوصی,خصوصی,ذاتی,ذاتی,ذاتی,ذاتی,ذاتی,تایبەتی,تایبەتی,خصوصی,خاس,خاص,خاص,خاص,خاص,خصوصی,خصوصی,خاص,خاص,خصوصی,خصوصی,خصوصی,خصوصی,خصوصی,خصوصی,پرائيويٽ,خصوصی,خاس,خاس,خاس,خاص,خاص,ကိုယ်ပိုင်
protected,access,محمي,محفوظ,محافظت_شده,محافظت_شده,محافظت_شده,محفوظ,محفوظ,محفوظ,محافظت_شده,محافظت_شده,محفوظ,محفوظ,محفوظ,محفوظ,محفوظ,پارێزراو,پارێزراو,محافظت_شده,قوغدىلغان,محمي,محمي,محمي,محمي,محافظت_شده,محافظت_شده,محمي,محمي,محافظت_شده,محافظت_شده,محافظت_شده,محافظت_شده,محافظت_شده,محافظت_شده,پروٽيڪټڊ,محافظت_شده,قوغدىلغان,قوغدىلغان,قوغدىلغان,محمي,محمي,ကာကွယ်
public,access,عام,عوامی,عمومی,عمومی,عمومی,عام,عوامی,عام,عمومی,عمومی,عوامی,عوامی,عوامی,عوامی,عوامی,گشتی,گشتی,عمومی,ئاشكارا,عام,عام,عام,عام,عمومی,عمومی,عام,عام,عمومی,عمومی,عمومی,عمومی,عمومی,عمومی,پبلڪ,عمومی,ئاشكارا,ئاشكارا,ئاشكارا,عام,عام,အများ
