py_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,ku_sor,ota,ug,ha_aj,sw_aj,ff_aj,wo_aj,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
continue,control,تابع,جاری_رکھو,ادامه,ادامه,ادامه,جاري,جاری_رکھو,جاري,ادامه,ادامه,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,ادامه,داۋاملاشتۇر,تابع,تابع,ادامه,ادامه,ادامه,ادامه,داۋاملاشتۇر,داۋاملاشتۇر,داۋاملاشتۇر,تابع,تابع,ဆက်
def,definition,تعريف,تعریف,تعریف,تعریف,تعریف,تعريف,تعریف,تعريف,تعریف,تعریف,تعریف,تعریف,تعریف,تعریف,تعریف,ئېنىقلاش,تعريف,تعريف,تعریف,تعریف,تعریف,تعریف,ئېنىقلاش,ئېنىقلاش,ئېنىقلاش,تعريف,تعريف,သတ်မှတ်
del,operator,احذف,حذف_کرو,حذف,حذف,حذف,ختم,حذف_کرو,ختم,حذف,حذف,حذف_کرو,حذف_کرو,حذف_کرو,حذف_کرو,حذف,ئۆچۈر,احذف,احذف,حذف,حذف,حذف,حذف,ئۆچۈر,ئۆچۈر,ئۆچۈر,احذف,احذف,ဖျက်
elif,control,وإلا_إذا,ورنہ_اگر,وگرنه_اگر,وگرنه_اگر,وگرنه_اگر,ٻيئي_اگر,ورنہ_اگر,ٻيئي_اگر,وگرنه_اگر,وگرنه_اگر,ورنہ_اگر,ورنہ_اگر,ورنہ_اگر,ورنہ_اگر,وگرنه_اگر,بولمىسا_ئەگەر,وإلا_إذا,وإلا_إذا,وگرنه_اگر,وگرنه_اگر,وگرنه_اگر,وگرنه_اگر,بولمىسا_ئەگەر,بولمىسا_ئەگەر,بولمىسا_ئەگەر,وإلا_إذا,وإلا_إذا,မဟုတ်လျှင်_အကယ်၍
else,control,وإلا,ورنہ,وگرنه,وگرنه,وگرنه,ٻيئي,ورنہ,ٻيئي,وگرنه,وگرنه,ورنہ,ورنہ,ورنہ,ورنہ,وگرنه,بولمىسا,وإلا,وإلا,وگرنه,وگرنه,وگرنه,وگرنه,بولمىسا,بولمىسا,بولمىسا,وإلا,وإلا,မဟုတ်ရင်
except,exception,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,مۇستەسنا,استثناء,استثناء,استثناء,استثناء,استثناء,استثناء,مۇستەسنا,مۇستەسنا,مۇستەسنا,استثناء,استثناء,ခြွင်းချက်
finally,exception,أخيراً,آخرکار,در_پایان,در_پایان,در_پایان,آخر,آخرکار,آخر,در_پایان,در_پایان,آخرکار,آخرکار,آخرکار,آخرکار,در_پایان,ئاخىر,أخيراً,أخيراً,در_پایان,در_پایان,در_پایان,در_پایان,ئاخىر,ئاخىر,ئاخىر,أخيراً,أخيراً,နောက်ဆုံး
for,control,لـ,کے_ليے,برای,برای,برای,لاء,کے_ليے,لاء,برای,برای,کے_ليے,کے_ليے,کے_ليے,کے_ليے,برای,ئۈچۈن,لـ,لـ,برای,برای,برای,برای,ئۈچۈن,ئۈچۈن,ئۈچۈن,لـ,لـ,အတွက်
from,keyword,من,سے,از,از,از,کان,سے,کان,از,از,سے,سے,سے,سے,از,دىن,من,من,از,از,از,از,دىن,دىن,دىن,من,من,မှ
global,keyword,عام,عالمی,سراسری,سراسری,سراسری,عالمي,عالمی,عالمي,سراسری,سراسری,عالمی,عالمی,عالمی,عالمی,سراسری,جهانی,عام,عام,سراسری,سراسری,سراسری,سراسری,جهانی,جهانی,جهانی,عام,عام,ကမ္ဘာလုံး
if,control,إذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,إذا,إذا,اگر,اگر,اگر,اگر,ئەگەر,ئەگەر,ئەگەر,إذا,إذا,အကယ်၍
import,keyword,استيراد,درآمد,واردات,واردات,واردات,درآمد,درآمد,درآمد,واردات,واردات,درآمد,درآمد,درآمد,درآمد,واردات,كىرگۈزۈش,استيراد,استيراد,واردات,واردات,واردات,واردات,كىرگۈزۈش,كىرگۈزۈش,كىرگۈزۈش,استيراد,استيراد,သွင်း
in,operator,في,میں,در,در,در,۾,میں,۾,در,در,میں,میں,میں,میں,در,ئىچىدە,في,في,در,در,در,در,ئىچىدە,ئىچىدە,ئىچىدە,في,في,အတွင်း
is,operator,هو,ہے,است,است,است,آهي,ہے,آهي,است,است,ہے,ہے,ہے,ہے,است,ھە,هو,هو,است,است,است,است,ھە,ھە,ھە,هو,هو,ဖြစ်
lambda,definition,لامدا,لیمبڈا,لامبدا,لامبدا,لامبدا,لامبڊا,لیمبڈا,لامبڊا,لامبدا,لامبدا,لیمبڈا,لیمبڈا,لیمبڈا,لیمبڈا,لامبدا,لامبدا,لامدا,لامدا,لامبدا,لامبدا,لامبدا,لامبدا,لامبدا,لامبدا,لامبدا,لامدا,لامدا,လမ်ဘဒါ
nonlocal,keyword,غير_محلي,غیر_مقامی,غیر_محلی,غیر_محلی,غیر_محلی,غير_مقامي,غیر_مقامی,غير_مقامي,غیر_محلی,غیر_محلی,غیر_مقامی,غیر_مقامی,غیر_مقامی,غیر_مقامی,غیر_محلی,ناوخۆیی_نەبوو,غير_محلي,غير_محلي,غیر_محلی,غیر_محلی,غیر_محلی,غیر_محلی,ناوخۆیی_نەبوو,ناوخۆیی_نەبوو,ناوخۆیی_نەبوو,غير_محلي,غير_محلي,မဒေသခံ
not,operator,ليس,نہیں,نه,نه,نه,نه,نہیں,نه,نه,نه,نہیں,نہیں,نہیں,نہیں,نه,يوق,ليس,ليس,نه,نه,نه,نه,يوق,يوق,يوق,ليس,ليس,မဟုတ်
or,operator,أو,یا,یا,یا,یا,يا,یا,يا,یا,یا,یا,یا,یا,یا,یا,ياكى,أو,أو,یا,یا,یا,یا,ياكى,ياكى,ياكى,أو,أو,သို့
pass,control,مرر,چھوڑو,بگذر,بگذر,بگذر,ڇڏ,چھوڑو,ڇڏ,بگذر,بگذر,چھوڑو,چھوڑو,چھوڑو,چھوڑو,بگذر,تێپەڕاندن,مرر,مرر,بگذر,بگذر,بگذر,بگذر,تێپەڕاندن,تێپەڕاندن,تێپەڕاندن,مرر,مرر,ကျော်
raise,exception,ارفع,اٹھاؤ,برخیز,برخیز,برخیز,اٿار,اٹھاؤ,اٿار,برخیز,برخیز,اٹھاؤ,اٹھاؤ,اٹھاؤ,اٹھاؤ,برخیز,بەرزکردنەوە,ارفع,ارفع,برخیز,برخیز,برخیز,برخیز,بەرزکردنەوە,بەرزکردنەوە,بەرزکردنەوە,ارفع,ارفع,မြှောက်
return,control,ارجع,واپس_کرو,برگردان,برگردان,برگردان,موٽايو,واپس_کرو,موٽايو,برگردان,برگردان,واپس_کرو,واپس_کرو,واپس_کرو,واپس_کرو,برگردان,قايتۇر,ارجع,ارجع,برگردان,برگردان,برگردان,برگردان,قايتۇر,قايتۇر,قايتۇر,ارجع,ارجع,ပြန်
try,exception,حاول,کوشش,سعی,سعی,سعی,ڪوشش,کوشش,ڪوشش,سعی,سعی,کوشش,کوشش,کوشش,کوشش,سعی,سىناش,حاول,حاول,سعی,سعی,سعی,سعی,سىناش,سىناش,سىناش,حاول,حاول,ကြိုးစား
while,control,بينما,جب_تك,تا_زمانی_که,تا_زمانی_که,تا_زمانی_که,جيستائين,جب_تك,جيستائين,تا_زمانی_که,تا_زمانی_که,جب_تك,جب_تك,جب_تك,جب_تك,تا_زمانی_که,قەدەر,بينما,بينما,تا_زمانی_که,تا_زمانی_که,تا_زمانی_که,تا_زمانی_که,قەدەر,قەدەر,قەدەر,بينما,بينما,အထိ
with,keyword,مع,کے_ساتھ,با,با,با,سان,کے_ساتھ,سان,با,با,کے_ساتھ,کے_ساتھ,کے_ساتھ,کے_ساتھ,با,بە,مع,مع,با,با,با,با,بە,بە,بە,مع,مع,နှင့်
yield,keyword,انتج,پیدا_کرو,بده,بده,بده,ڏيو,پیدا_کرو,ڏيو,بده,بده,پیدا_کرو,پیدا_کرو,پیدا_کرو,پیدا_کرو,بده,بەرهەم,انتج,انتج,بده,بده,بده,بده,بەرهەم,بەرهەم,بەرهەم,انتج,انتج,ထုတ်
