js_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,scl,bft,wbl,ku_sor,ku_kmr_pa,ota,ug,ha_aj,sw_aj,wo_aj,ff_aj,mnk_aj,jrb,jpr,tg_pa,lrc,mzn,glk,tat,syr_gar,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
import,module,استورد,درآمد,وارد,وارد,وارد,درآمد,درآمد,درآمد,وارد,وارد,درآمد,درآمد,درآمد,درآمد,درآمد,هێنان,هێنان,وارد,ئەكىر,استورد,استورد,استورد,استورد,وارد,وارد,استورد,استورد,وارد,وارد,وارد,وارد,وارد,وارد,ايمڤورت,وارد,ئەكىر,ئەكىر,ئەكىر,استورد,استورد,တင်သွင်း
in,operator,في,میں,در,در,در,۾,میں,۾,در,در,میں,میں,میں,میں,میں,لە,لە,در,ئىچىدە,في,في,في,في,در,در,في,في,در,در,در,در,در,در,دالم,در,ئىچىدە,ئىچىدە,ئىچىدە,في,في,အတွင်း
instanceof,operator,نمونه_من,کی_مثال,نمونه_از,نمونه_از,نمونه_از,نمونو,کی_مثال,نمونو,نمونه_از,نمونه_از,کی_مثال,کی_مثال,کی_مثال,کی_مثال,کی_مثال,نموونەی,نموونەی,نمونه_از,مىسال,نمونه_من,نمونه_من,نمونه_من,نمونه_من,نمونه_از,نمونه_از,نمونه_من,نمونه_من,نمونه_از,نمونه_از,نمونه_از,نمونه_از,نمونه_از,نمونه_از,مثال,نمونه_از,مىسال,مىسال,مىسال,نمونه_من,نمونه_من,နမူနာ
let,definition,دع,دو,بگذار,بگذار,بگذار,ڏي,دو,ڏي,بگذار,بگذار,دو,دو,دو,دو,دو,بهێڵە,بهێڵە,بگذار,قوي,دع,دع,دع,دع,بگذار,بگذار,دع,دع,بگذار,بگذار,بگذار,بگذار,بگذار,بگذار,لت,بگذار,قوي,قوي,قوي,دع,دع,ထား
new,operator,جديد,نیا,جدید,جدید,جدید,نئون,نیا,نئون,جدید,جدید,نیا,نیا,نیا,نیا,نیا,نوێ,نوێ,جدید,يېڭى,جديد,جديد,جديد,جديد,جدید,جدید,جديد,جديد,جدید,جدید,جدید,جدید,جدید,جدید,بارو,جدید,يېڭى,يېڭى,يېڭى,جديد,جديد,အသစ်
return,control,ارجع,واپس_کرو,برگردان,برگردان,برگردان,موٽايو,واپس_کرو,موٽايو,برگردان,برگردان,واپس_کرو,واپس_کرو,واپس_کرو,واپس_کرو,واپس_کرو,بگەڕێنەوە,بگەڕێنەوە,بازگردان,قايتۇر,ارجع,ارجع,ارجع,ارجع,برگردان,برگردان,ارجع,ارجع,برگردان,برگردان,برگردان,برگردان,برگردان,برگردان,كembali,برگردان,قايتۇر,قايتۇر,قايتۇر,ارجع,ارجع,ပြန်
super,definition,فوق,بالائی,ابر,ابر,ابر,سپر,بالائی,سپر,ابر,ابر,بالائی,بالائی,بالائی,بالائی,بالائی,سەروو,سەروو,ابر,سۇپىر,فوق,فوق,فوق,فوق,ابر,ابر,فوق,فوق,ابر,ابر,ابر,ابر,ابر,ابر,سوڤر,ابر,سۇپىر,سۇپىر,سۇپىر,فوق,فوق,အထက်
switch,control,تحويل,سوئچ,تغییر,تغییر,تغییر,مٽاسٽا,سوئچ,مٽاسٽا,تغییر,تغییر,سوئچ,سوئچ,سوئچ,سوئچ,سوئچ,گۆڕین,گۆڕین,تبدیل,ئالماشتۇرۇش,تحويل,تحويل,تحويل,تحويل,تغییر,تغییر,تحويل,تحويل,تغییر,تغییر,تغییر,تغییر,تغییر,تغییر,سوچ,تغییر,ئالماشتۇرۇش,ئالماشتۇرۇش,ئالماشتۇرۇش,تحويل,تحويل,ပြောင်း
this,operator,هذا,یہ,این,این,این,هيء,یہ,هيء,این,این,یہ,یہ,یہ,یہ,یہ,ئەمە,ئەمە,این,بۇ,هذا,هذا,هذا,هذا,این,این,هذا,هذا,این,این,این,این,این,این,اين,این,بۇ,بۇ,بۇ,هذا,هذا,ဒီ
throw,control,ارمِ,پھینکو,بینداز,بینداز,بینداز,اڇل,پھینکو,اڇل,بینداز,بینداز,پھینکو,پھینکو,پھینکو,پھینکو,پھینکو,هاوێنە,هاوێنە,بینداز,تاشلا,ارمِ,ارمِ,ارمِ,ارمِ,بینداز,بینداز,ارمِ,ارمِ,بینداز,بینداز,بینداز,بینداز,بینداز,بینداز,بالين,بینداز,تاشلا,تاشلا,تاشلا,ارمِ,ارمِ,ပစ်
try,control,حاول,کوشش_کرو,تلاش,تلاش,تلاش,ڪوشش,کوشش_کرو,ڪوشش,تلاش,تلاش,کوشش_کرو,کوشش_کرو,کوشش_کرو,کوشش_کرو,کوشش_کرو,هەوڵبدە,هەوڵبدە,تلاش,سىنا,حاول,حاول,حاول,حاول,تلاش,تلاش,حاول,حاول,تلاش,تلاش,تلاش,تلاش,تلاش,تلاش,چوبا,تلاش,سىنا,سىنا,سىنا,حاول,حاول,ကြိုးစား
typeof,operator,نوع,قسم,نوع,نوع,نوع,قسم,قسم,قسم,نوع,نوع,قسم,قسم,قسم,قسم,قسم,جۆر,جۆر,نوع,تۈرى,نوع,نوع,نوع,نوع,نوع,نوع,نوع,نوع,نوع,نوع,نوع,نوع,نوع,نوع,جنس,نوع,تۈرى,تۈرى,تۈرى,نوع,نوع,အမျိုးအစား
var,definition,متغير,متغیر,متغیر,متغیر,متغیر,متغير,متغیر,متغير,متغیر,متغیر,متغیر,متغیر,متغیر,متغیر,متغیر,گۆڕاو,گۆڕاو,متغیر,ئۆزگىرىشچان,متغير,متغير,متغير,متغير,متغیر,متغیر,متغير,متغير,متغیر,متغیر,متغیر,متغیر,متغیر,متغیر,ڤاريابل,متغیر,ئۆزگىرىشچان,ئۆزگىرىشچان,ئۆزگىرىشچان,متغير,متغير,အပြောင်းအလဲ
void,operator,فارغ,خالی,تهی,تهی,تهی,خالي,خالی,خالي,تهی,تهی,خالی,خالی,خالی,خالی,خالی,بەتاڵ,بەتاڵ,تهی,بوش,فارغ,فارغ,فارغ,فارغ,تهی,تهی,فارغ,فارغ,تهی,تهی,تهی,تهی,تهی,تهی,ڤويد,تهی,بوش,بوش,بوش,فارغ,فارغ,အလွတ်
while,loop,بينما,جب_تك,تا_زمانی_که,تا_زمانی_که,تا_زمانی_که,جيستائين,جب_تك,جيستائين,تا_زمانی_که,تا_زمانی_که,جب_تك,جب_تك,جب_تك,جب_تك,جب_تك,کاتێک,کاتێک,تا,قەدەر,بينما,بينما,بينما,بينما,تا,تا,بينما,بينما,تا,تا,تا,تا,تا,تا,سلمان,تا,قەدەر,قەدەر,قەدەر,بينما,بينما,အထိ
with,control,مع,کے_ساتھ,با,با,با,سان,کے_ساتھ,سان,با,با,کے_ساتھ,کے_ساتھ,کے_ساتھ,کے_ساتھ,کے_ساتھ,لەگەڵ,لەگەڵ,با,بىلەن,مع,مع,مع,مع,با,با,مع,مع,با,با,با,با,با,با,دڠن,با,بىلەن,بىلەن,بىلەن,مع,مع,နှင့်
yield,control,انتج,پیدا_کرو,بازده,بازده,بازده,پيداوار,پیدا_کرو,پيداوار,بازده,بازده,پیدا_کرو,پیدا_کرو,پیدا_کرو,پیدا_کرو,پیدا_کرو,بەرهەم,بەرهەم,بازده,مەھسۇلات,انتج,انتج,انتج,انتج,بازده,بازده,انتج,انتج,بازده,بازده,بازده,بازده,بازده,بازده,ڤيلد,بازده,مەھسۇلات,مەھسۇلات,مەھسۇلات,انتج,انتج,ထုတ်
await,control,انتظر,انتظار_کرو,منتظر,منتظر,منتظر,انتظار,انتظار_کرو,انتظار,منتظر,منتظر,انتظار_کرو,انتظار_کرو,انتظار_کرو,انتظار_کرو,انتظار_کرو,چاوەڕوان,چاوەڕوان,منتظر,كۈت,انتظر,انتظر,انتظر,انتظر,منتظر,منتظر,انتظر,انتظر,منتظر,منتظر,منتظر,منتظر,منتظر,منتظر,اونڠو,منتظر,كۈت,كۈت,كۈت,انتظر,انتظر,စောင့်
async,control,غير_متزامن,غیر_ہم_وقت,ناهمزمان,ناهمزمان,ناهمزمان,غير_همزمان,غیر_ہم_وقت,غير_همزمان,ناهمزمان,ناهمزمان,غیر_ہم_وقت,غیر_ہم_وقت,غیر_ہم_وقت,غیر_ہم_وقت,غیر_ہم_وقت,ناهاوسەنگ,ناهاوسەنگ,ناهمزمان,ماس_ئەمەس,غير_متزامن,غير_متزامن,غير_متزامن,غير_متزامن,ناهمزمان,ناهمزمان,غير_متزامن,غير_متزامن,ناهمزمان,ناهمزمان,ناهمزمان,ناهمزمان,ناهمزمان,ناهمزمان,اسنچ,ناهمزمان,ماس_ئەمەس,ماس_ئەمەس,ماس_ئەمەس,غير_متزامن,غير_متزامن,အချိန်မညီ
true,literal,صحيح,درست,درست,درست,درست,صحيح,درست,صحيح,درست,درست,درست,درست,درست,درست,درست,راست,راست,درست,توغرا,صحيح,صحيح,صحيح,صحيح,درست,درست,صحيح,صحيح,درست,درست,درست,درست,درست,درست,ترو,درست,توغرا,توغرا,توغرا,صحيح,صحيح,မှန်
false,literal,خطأ,غلط,نادرست,نادرست,نادرست,غلط,غلط,غلط,نادرست,نادرست,غلط,غلط,غلط,غلط,غلط,نەراست,نەراست,نادرست,يالغان,خطأ,خطأ,خطأ,خطأ,نادرست,نادرست,خطأ,خطأ,نادرست,نادرست,نادرست,نادرست,نادرست,نادرست,فلس,نادرست,يالغان,يالغان,يالغان,خطأ,خطأ,မှား
null,literal,عدم,خالی,تهی,تهی,تهی,خالي,خالی,خالي,تهی,تهی,خالی,خالی,خالی,خالی,خالی,هیچ,هیچ,تهی,نول,عدم,عدم,عدم,عدم,تهی,تهی,عدم,عدم,تهی,تهی,تهی,تهی,تهی,تهی,نل,تهی,نول,نول,نول,عدم,عدم,အလွတ်
undefined,literal,غير_معرّف,غير_متعین,تعریف_نشده,تعریف_نشده,تعریف_نشده,غير_متعین,غير_متعین,غير_متعین,تعریف_نشده,تعریف_نشده,غير_متعین,غير_متعین,غير_متعین,غير_متعین,غير_متعین,ناسناسراو,ناسناسراو,تعریف_نشده,بەلگىلەنمىگەن,غير_معرّف,غير_معرّف,غير_معرّف,غير_معرّف,تعریف_نشده,تعریف_نشده,غير_معرّف,غير_معرّف,تعریف_نشده,تعریف_نشده,تعریف_نشده,تعریف_نشده,تعریف_نشده,تعریف_نشده,انديڤايند,تعریف_نشده,بەلگىلەنمىگەن,بەلگىلەنمىگەن,بەلگىلەنمىگەن,غير_معرّف,غير_معرّف,မသတ်မှတ်
NaN,literal,ليس_رقم,عدد_نہیں,عدد_نیست,عدد_نیست,عدد_نیست,عدد_ناهي,عدد_نہیں,عدد_ناهي,عدد_نیست,عدد_نیست,عدد_نہیں,عدد_نہیں,عدد_نہیں,عدد_نہیں,عدد_نہیں,نە_ژمارە,نە_ژمارە,عدد_نیست,سان_ئەمەس,ليس_رقم,ليس_رقم,ليس_رقم,ليس_رقم,عدد_نیست,عدد_نیست,ليس_رقم,ليس_رقم,عدد_نیست,عدد_نیست,عدد_نیست,عدد_نیست,عدد_نیست,عدد_نیست,نان,عدد_نیست,سان_ئەمەس,سان_ئەمەس,سان_ئەمەس,ليس_رقم,ليس_رقم,မဟုတ်သောနံပါတ်
Infinity,literal,لانهاية,لامحدود,بی‌نهایت,بی‌نهایت,بی‌نهایت,لامحدود,لامحدود,لامحدود,بی‌نهایت,بی‌نهایت,لامحدود,لامحدود,لامحدود,لامحدود,لامحدود,بێکۆتا,بێکۆتا,بی‌نهایت,چەكسىز,لانهاية,لانهاية,لانهاية,لانهاية,بی‌نهایت,بی‌نهایت,لانهاية,لانهاية,بی‌نهایت,بی‌نهایت,بی‌نهایت,بی‌نهایت,بی‌نهایت,بی‌نهایت,انفينيتي,بی‌نهایت,چەكسىز,چەكسىز,چەكسىز,لانهاية,لانهاية,အဆုံးမရှိ
using,contextual,باستخدام,استعمال_کرو,با‌استفاده,با‌استفاده,با‌استفاده,استعمال,استعمال_کرو,استعمال,با‌استفاده,با‌استفاده,استعمال_کرو,استعمال_کرو,استعمال_کرو,استعمال_کرو,استعمال_کرو,بە_بەکارهێنان,بە_بەکارهێنان,با‌استفاده,ئىشلىتىش,باستخدام,باستخدام,باستخدام,باستخدام,باستخدام,باستخدام,باستخدام,باستخدام,با‌استفاده,با‌استفاده,با‌استفاده,با‌استفاده,با‌استفاده,با‌استفاده,باستخدام,با‌استفاده,ئىشلىتىش,ئىشلىتىش,ئىشلىتىش,باستخدام,باستخدام,အသုံးပြု
constructor,definition,منشئ,بنانے_والا,سازنده,سازنده,سازنده,ٺاھيندڙ,بنانے_والا,ٺاھيندڙ,سازنده,سازنده,بنانے_والا,بنانے_والا,بنانے_والا,بنانے_والا,بنانے_والا,دروستکەر,دروستکەر,سازنده,قۇرغۇچى,منشئ,منشئ,منشئ,منشئ,سازنده,سازنده,منشئ,منشئ,سازنده,سازنده,سازنده,سازنده,سازنده,سازنده,كونستركتور,سازنده,قۇرغۇچى,قۇرغۇچى,قۇرغۇچى,منشئ,منشئ,တည်ဆောက်
target,meta,هدف,ہدف,هدف,هدف,هدف,هدف,ہدف,هدف,هدف,هدف,ہدف,ہدف,ہدف,ہدف,ہدف,ئامانج,ئامانج,هدف,نىشان,هدف,هدف,هدف,هدف,هدف,هدف,هدف,هدف,هدف,هدف,هدف,هدف,هدف,هدف,تارگت,هدف,نىشان,نىشان,نىشان,هدف,هدف,ပန်းတိုင်
meta,meta,بيانات_فوقية,میٹا,فراداده,فراداده,فراداده,ميٽا,میٹا,ميٽا,فراداده,فراداده,میٹا,میٹا,میٹا,میٹا,میٹا,میٹاداٹا,میٹاداٹا,فراداده,مېتا,بيانات_فوقية,بيانات_فوقية,بيانات_فوقية,بيانات_فوقية,فراداده,فراداده,بيانات_فوقية,بيانات_فوقية,فراداده,فراداده,فراداده,فراداده,فراداده,فراداده,ميتا,فراداده,مېتا,مېتا,مېتا,بيانات_فوقية,بيانات_فوقية,မီတာ
import.meta,meta,استيراد_فوقي,درآمد_میٹا,فراداده_درون‌ریزی,فراداده_درون‌ریزی,فراداده_درون‌ریزی,درآمد_ميٽا,درآمد_میٹا,درآمد_ميٽا,فراداده_درون‌ریزی,فراداده_درون‌ریزی,درآمد_میٹا,درآمد_میٹا,درآمد_میٹا,درآمد_میٹا,درآمد_میٹا,میٹای_هێنان,میٹای_هێنان,فراداده_درون‌ریزی,كىرگۈز_مېتا,استيراد_فوقي,استيراد_فوقي,استيراد_فوقي,استيراد_فوقي,فراداده_درون‌ریزی,فراداده_درون‌ریزی,استيراد_فوقي,استيراد_فوقي,فراداده_درون‌ریزی,فراداده_درون‌ریزی,فراداده_درون‌ریزی,فراداده_درون‌ریزی,فراداده_درون‌ریزی,فراداده_درون‌ریزی,ايمڤورت_ميتا,فراداده_درون‌ریزی,كىرگۈز_مېتا,كىرگۈز_مېتا,كىرگۈز_مېتا,استيراد_فوقي,استيراد_فوقي,အင်ပို့မီတာ
